"Month","Percentage"
1,60.2409638554217
2,45
3,44.0613026819923
4,60.387811634349
5,73.0046948356808
6,82.6829268292683
7,91.025641025641
8,85.8895705521472
9,76.6283524904215
10,65.7738095238095
11,56.9405099150142
12,57.4074074074074
